"loan_percent_income","defaults","non_defaults","total_loans","default_rate","non_default_rate"
0.01,8,127,135,5.93,94.07
0.02,31,327,358,8.66,91.34
0.03,73,686,759,9.62,90.38
0.04,119,832,951,12.51,87.49
0.05,115,1035,1150,10.00,90.00
0.06,139,1127,1266,10.98,89.02
0.07,161,1192,1353,11.90,88.10
0.08,201,1203,1404,14.32,85.68
0.09,166,1184,1350,12.30,87.70
0.10,194,1307,1501,12.92,87.08
0.11,174,1181,1355,12.84,87.16
0.12,149,1120,1269,11.74,88.26
0.13,173,1274,1447,11.96,88.04
0.14,196,1076,1272,15.41,84.59
0.15,151,1080,1231,12.27,87.73
0.16,185,874,1059,17.47,82.53
0.17,217,1034,1251,17.35,82.65
0.18,178,773,951,18.72,81.28
0.19,200,761,961,20.81,79.19
0.20,170,890,1060,16.04,83.96
0.21,162,674,836,19.38,80.62
0.22,163,583,746,21.85,78.15
0.23,139,591,730,19.04,80.96
0.24,127,543,670,18.96,81.04
0.25,130,580,710,18.31,81.69
0.26,139,337,476,29.20,70.80
0.27,143,413,556,25.72,74.28
0.28,128,344,472,27.12,72.88
0.29,103,358,461,22.34,77.66
0.30,109,337,446,24.44,75.56
0.31,266,117,383,69.45,30.55
0.32,215,102,317,67.82,32.18
0.33,289,126,415,69.64,30.36
0.34,196,72,268,73.13,26.87
0.35,153,98,251,60.96,39.04
0.36,187,82,269,69.52,30.48
0.37,120,59,179,67.04,32.96
0.38,176,61,237,74.26,25.74
0.39,93,52,145,64.14,35.86
0.40,152,61,213,71.36,28.64
0.41,92,25,117,78.63,21.37
0.42,117,34,151,77.48,22.52
0.43,68,28,96,70.83,29.17
0.44,62,35,97,63.92,36.08
0.45,55,20,75,73.33,26.67
0.46,44,18,62,70.97,29.03
0.47,55,15,70,78.57,21.43
0.48,43,19,62,69.35,30.65
0.49,28,9,37,75.68,24.32
0.50,63,25,88,71.59,28.41
0.51,26,11,37,70.27,29.73
0.52,30,3,33,90.91,9.09
0.53,27,7,34,79.41,20.59
0.54,14,4,18,77.78,22.22
0.55,9,4,13,69.23,30.77
0.56,12,2,14,85.71,14.29
0.57,9,0,9,100.00,0.00
0.58,3,2,5,60.00,40.00
0.59,16,3,19,84.21,15.79
0.60,5,5,10,50.00,50.00
0.61,5,0,5,100.00,0.00
0.62,1,0,1,100.00,0.00
0.63,10,3,13,76.92,23.08
0.64,4,1,5,80.00,20.00
0.65,2,2,4,50.00,50.00
0.66,2,0,2,100.00,0.00
0.67,4,0,4,100.00,0.00
0.68,2,1,3,66.67,33.33
0.69,1,1,2,50.00,50.00
0.70,2,1,3,66.67,33.33
0.71,2,1,3,66.67,33.33
0.72,1,0,1,100.00,0.00
0.76,1,0,1,100.00,0.00
0.77,2,0,2,100.00,0.00
0.78,1,0,1,100.00,0.00
0.83,0,1,1,0.00,100.00
