"cb_person_cred_hist_length","defaults","non_defaults","total_loans","default_rate","non_default_rate"
2,1406,4558,5964,23.57,76.43
3,1323,4617,5940,22.27,77.73
4,1322,4601,5923,22.32,77.68
5,384,1461,1845,20.81,79.19
6,384,1432,1816,21.15,78.85
7,370,1479,1849,20.01,79.99
8,398,1446,1844,21.58,78.42
9,386,1458,1844,20.93,79.07
10,367,1427,1794,20.46,79.54
11,84,334,418,20.10,79.90
12,90,355,445,20.22,79.78
13,82,323,405,20.25,79.75
14,94,347,441,21.32,78.68
15,87,311,398,21.86,78.14
16,93,327,420,22.14,77.86
17,73,285,358,20.39,79.61
18,4,14,18,22.22,77.78
19,4,15,19,21.05,78.95
20,8,18,26,30.77,69.23
21,5,13,18,27.78,72.22
22,4,15,19,21.05,78.95
23,2,17,19,10.53,89.47
24,5,23,28,17.86,82.14
25,5,9,14,35.71,64.29
26,1,15,16,6.25,93.75
27,8,13,21,38.10,61.90
28,8,17,25,32.00,68.00
29,6,7,13,46.15,53.85
30,5,16,21,23.81,76.19
